# Gallery manifest for tools/build-gallery.py
#
# One row per gallery photo, tab separated:
#   category <TAB> slug <TAB> title <TAB> source image path
#
# category must be one of the filter keys defined in gallery.html:
#   kitchens, wardrobes, furniture, workshop
# slug is the file name used for the generated thumbnail and web-sized copy.
# title shows on the tile and in the lightbox caption.
#
# After editing this file run:  python3 tools/build-gallery.py
# That regenerates img/gallery/thumbs, img/gallery/web and the grid inside
# gallery.html. Source images are never modified.

kitchens	kitchen-charcoal-timber	Charcoal & Timber Kitchen	img/Remodeled/Rkitchen1.jpeg
kitchens	kitchen-white-mosaic	White Kitchen With Mosaic Splashback	img/Remodeled/Rkitchen3.jpeg
kitchens	kitchen-woodgrain-glass	Kitchen Units In A Concrete Finish	img/Remodeled/Rkitchen4.jpeg
kitchens	kitchen-corner-woodgrain	Woodgrain Kitchen With Glass Uppers	img/Remodeled/Rkitchen13.jpeg
kitchens	kitchen-grey-granite	Grey Kitchen With Granite Tops	img/Remodeled/Rkitchen15.jpeg
kitchens	kitchen-oven-tower	Kitchen With Built-In Oven Tower	img/Remodeled/Rkitchen16.jpeg
kitchens	kitchen-island-extractor	Island Kitchen With Extractor	img/Remodeled/Rkitchen17.jpeg
kitchens	kitchen-installation	Kitchen Installation In Progress	img/Remodeled/Kitchen  48.jpeg
kitchens	kitchen-white-gloss-galley	White Gloss Galley Kitchen	img/Remodeled/Kitchen  50.jpeg
kitchens	kitchen-navy-timber	Navy & Timber L-Shaped Kitchen	img/Remodeled/Kitchen 53.jpeg
kitchens	kitchen-luxe-gold	Luxe Kitchen With Gold Detailing	img/Remodeled/k2.jpg
kitchens	kitchen-shaker-timber-floor	Shaker Kitchen On Timber Floor	img/Remodeled/k3.jpg
kitchens	kitchen-red-high-gloss	Red High Gloss Kitchen	img/Remodeled/k4.jpg
kitchens	kitchen-warm-timber	Warm Timber Kitchen	img/Remodeled/k5.jpg
kitchens	kitchen-white-island	White Kitchen With Island	img/Remodeled/k6.jpg
kitchens	kitchen-white-grey-galley	White & Grey Galley Kitchen	img/Remodeled/k7.jpg
kitchens	kitchen-grey-shaker-range	Grey Shaker Kitchen With Range	img/Remodeled/k8.jpg
kitchens	kitchen-grey-shaker-corner	Grey Shaker Corner Kitchen	img/Remodeled/k9.jpg
